维度Key,维度名称,选项名称,选项值(value),字段类型
gender,性别,男,男,single
gender,性别,女,女,single
birth_year,出生年份,2012年,2012,single
birth_year,出生年份,2011年,2011,single
birth_year,出生年份,2010年,2010,single
birth_year,出生年份,2009年,2009,single
birth_year,出生年份,2008年,2008,single
birth_year,出生年份,2007年,2007,single
birth_year,出生年份,2006年,2006,single
birth_year,出生年份,2005年,2005,single
birth_year,出生年份,2004年,2004,single
birth_year,出生年份,2003年,2003,single
birth_year,出生年份,2002年,2002,single
birth_year,出生年份,2001年,2001,single
birth_year,出生年份,2000年,2000,single
birth_year,出生年份,1999年,1999,single
birth_year,出生年份,1998年,1998,single
birth_year,出生年份,1997年,1997,single
birth_year,出生年份,1996年,1996,single
birth_year,出生年份,1995年,1995,single
birth_year,出生年份,1994年,1994,single
birth_year,出生年份,1993年,1993,single
birth_year,出生年份,1992年,1992,single
birth_year,出生年份,1991年,1991,single
birth_year,出生年份,1990年,1990,single
birth_year,出生年份,1989年,1989,single
birth_year,出生年份,1988年,1988,single
birth_year,出生年份,1987年,1987,single
birth_year,出生年份,1986年,1986,single
birth_year,出生年份,1985年,1985,single
birth_year,出生年份,1984年,1984,single
birth_year,出生年份,1983年,1983,single
birth_year,出生年份,1982年,1982,single
birth_year,出生年份,1981年,1981,single
birth_year,出生年份,1980年,1980,single
birth_year,出生年份,1979年,1979,single
birth_year,出生年份,1978年,1978,single
birth_year,出生年份,1977年,1977,single
birth_year,出生年份,1976年,1976,single
birth_year,出生年份,1975年,1975,single
birth_year,出生年份,1974年,1974,single
birth_year,出生年份,1973年,1973,single
birth_year,出生年份,1972年,1972,single
birth_year,出生年份,1971年,1971,single
birth_year,出生年份,1970年,1970,single
birth_year,出生年份,1969年,1969,single
birth_year,出生年份,1968年,1968,single
birth_year,出生年份,1967年,1967,single
birth_year,出生年份,1966年,1966,single
birth_year,出生年份,1965年,1965,single
birth_year,出生年份,1964年,1964,single
birth_year,出生年份,1963年,1963,single
birth_year,出生年份,1962年,1962,single
birth_year,出生年份,1961年,1961,single
birth_year,出生年份,1960年,1960,single
birth_year,出生年份,1959年,1959,single
age_group,年龄段,18岁以下,under18,derived
age_group,年龄段,18-24岁,18-24,derived
age_group,年龄段,25-29岁,25-29,derived
age_group,年龄段,30-34岁,30-34,derived
age_group,年龄段,35-39岁,35-39,derived
age_group,年龄段,40-44岁,40-44,derived
age_group,年龄段,45岁及以上,45+,derived
education,最高学历,初中及以下,初中及以下,single
education,最高学历,高中/中专/技校,高中/中专/技校,single
education,最高学历,大学专科,大学专科,single
education,最高学历,大学本科,大学本科,single
education,最高学历,硕士及以上,硕士及以上,single
occupation,职业,在校学生,在校学生,single
occupation,职业,政府/机关干部/公务员,政府/机关干部/公务员,single
occupation,职业,企业管理者,企业管理者,single
occupation,职业,普通职员,普通职员,single
occupation,职业,专业人员,专业人员,single
occupation,职业,普通工人,普通工人,single
occupation,职业,商业服务业职工,商业服务业职工,single
occupation,职业,个体经营者/承包商,个体经营者/承包商,single
occupation,职业,自由职业者,自由职业者,single
occupation,职业,农林牧渔劳动者,农林牧渔劳动者,single
occupation,职业,退休,退休,single
occupation,职业,暂无职业,暂无职业,single
occupation,职业,其他,其他,single
industry,从事行业,IT/通信/电子/互联网,IT/通信/电子/互联网,single
industry,从事行业,金融业,金融业,single
industry,从事行业,房地产/建筑业,房地产/建筑业,single
industry,从事行业,商业服务,商业服务,single
industry,从事行业,贸易/批发/零售/租赁业,贸易/批发/零售/租赁业,single
industry,从事行业,文体教育/工艺美术,文体教育/工艺美术,single
industry,从事行业,生产/加工/制造,生产/加工/制造,single
industry,从事行业,交通/运输/物流/仓储,交通/运输/物流/仓储,single
industry,从事行业,服务业,服务业,single
industry,从事行业,文化/传媒/娱乐/体育,文化/传媒/娱乐/体育,single
industry,从事行业,能源/矿产/环保,能源/矿产/环保,single
industry,从事行业,政府/非盈利机构,政府/非盈利机构,single
industry,从事行业,农/林/牧/渔/其他,农/林/牧/渔/其他,single
industry,从事行业,其他,其他,single
city_tier,城市级别,一线城市,tier1,derived
city_tier,城市级别,二线城市,tier2,derived
city_tier,城市级别,三线城市,tier3,derived
city_tier,城市级别,四线城市,tier4,derived
city_tier,城市级别,五线城市,tier5,derived
city_tier,城市级别,其他,other,derived
income,个人月收入,500元以下,500元以下,single
income,个人月收入,500-1000元,500-1000元,single
income,个人月收入,1001-1500元,1001-1500元,single
income,个人月收入,1501-2000元,1501-2000元,single
income,个人月收入,2001-3000元,2001-3000元,single
income,个人月收入,3001-5000元,3001-5000元,single
income,个人月收入,5001-8000元,5001-8000元,single
income,个人月收入,8001-10000元,8001-10000元,single
income,个人月收入,10001-20000元,10001-20000元,single
income,个人月收入,20000元以上,20000元以上,single
phone,手机号,手机号（11位）,string,single
